ICD-9 code , demographic feature , percentage , diagnosed percentage , reference
"8507, 4102811, 703117000, 271602007, 42737008, 446151000124109, LA33946-7, 104033-6 ", Male , 48.86% , 8.4% , https://www.mass.gov/info-details/basic-facts...
Female , Female , 51.5% , 4.4% , https://www.mass.gov/info-details/basic-facts...
302.5 , Transsexualism , 0.52% , Data is unavailable , https://worldpopulationreview.com/state-ranking...
"F64, F64.8, F64.9 ", Gender identity disorder , Data is unavailable , Data is unavailable , https://newbostonpost.com/news/2024/01/06/non...
302.85 , Gender identity disorder in adolescents or adults , 5.4% , Data is unavailable , https://www.lgbtmap.org/equality-map-profiles/...
"87991007, 446131000124102, GenderIdentity_Transgender, 772004004, 33791000087105, CloserGenderDescription_Genderqueer, CloserGenderDescription_GenderVariant ", Non-binary , 0.5% - 2% , Data is unavailable , https://www.ncbi.nlm.nih.gov/pmc/articles/PMC...
Two-Spirit , Two-Spirit , Data is unavailable , Data is unavailable , https://hfsa.org/hf-stats-2024-heart-failure-...
"F64.8, F64.9 ", Gender Identity: Bigender , Data is unavailable , Data is unavailable , https://hfsa.org/hf-stats-2024-heart-failure-...
"185986006, 154162007, 44881000000100, 401213008, 185985005, 315237009, 154161000, 185984009, 976691000000100 ", White , 70.73% , 6.2% , https://www.mass.gov/info-details/basic-facts...
"154165009, 15086000, 18167009, 315635008, 413464008, 413655005, LA6162-7, LA10610-6, 309643000, 315634007, 976891000000104, 976921000000107, 976911000000101, LA14042-8, 976931000000109 ", Black or African American , 7% , 20% , https://pubmed.ncbi.nlm.nih.gov/33741769/
"413582008, 154223008, 186044009, 67403004, 315280000, 413581001, 154226000, 186046006, 42632009, 186045005, 15643001, 154178009, 186013000, 160525008, 154225001, 186004002, 186001005, 414481008, 154224002, 154181004, 160526009, 154216007, 154172005, 154180003, 154218008, 160529002, 92611000000106 ", Asian , 7.08% , 2.9% , https://jamanetwork.com/journals/jamanetworkop...
"LA10611-4, LA6266-6, 413581001, 20140003, LP133782-5, 67754-2, 23517005, LA32763-7, LA10623-9, LA10624-7, LA14045-1, 186041001, LA14047-7, 10292001, 154219000, LA4658-6, 86275006, LA30187-1, 154216007, 3698008, 186043003, 661731000000107, 413490006, 19085009, 154222003, 28821007, 73736004, 186040000, 297601002, 69865008, 154217003, 186042008, 154220006, 154218008, 4073004, 154221005, 315281001, 413491005, 81560001, 186021006, 414661004, 186039002, 94121000000100, 44356001, 13428006, 185987002, 668681000000107, 315238004, 186046006, 154163002, 18575005, 186013000, 186023009, LA10326-9, 154215006, 186035008, 186019001, 48118002, 92701000000102, 186022004, 224051005, 92691000000102, 154226000, 413582008, 661741000000103, 154212009, 42632009, 48294008, 224001000 ", Native Hawaiian or Other Pacific Islander , 0.04% , 11% , https://www.heart.org/en/news/2023/11/08/nativ...
