comorbidity,SNOMED-CT codes,prevalence
Diabetes mellitus,"73211009, 44054006, 111552007, 46635009, 28032008",18.5%
Type 1 diabetes mellitus,46635009,9.0%
Type 2 diabetes mellitus,44054006,9.0%
Hyperglycemia,80394007,Data is unavailable
Hypoglycemia,"237633009, 237630007",Data is unavailable
Dysglycemia,426255005,Data is unavailable
Non-diabetic hyperglycemia,700449008,Data is unavailable
Hypoglycemic disorder,237630007,Data is unavailable
Hyperlipidemia,"55822004, 267434003, 238090007, 190774002, 3723001",36.1%
Coronary artery disease,"53741008, 398274000, 194842008, 233970002, 21930005",2.73%
Obesity,44054006,65-78%
Morbid obesity,162864005,65-78%
Obesity due to excess calories,161891005,65-78%
Obesity hypoventilation syndrome,162865006,65-78%
Heart failure,84114007,20%
Heart failure,395105005,20%
Heart failure,703272007,20%
Heart failure,703275009,20%
Heart failure,23341000119109,20%
Heart failure,446221000,20%
Heart failure,417996009,20%
Heart failure,233924009,20%
Heart failure,56675007,20%
Heart failure,703273002,20%
Heart failure,471880001,20%
Heart failure,85232009,20%
Heart failure,42343007,20%
Heart failure,364006,20%
Heart failure,10633002,20%
Heart failure,359617009,20%
Heart failure,698594003,20%
Heart failure,101281000119107,20%
Heart failure,788950000,20%
Heart failure,111283005,20%
Heart failure,10335000,20%
Heart failure,703276005,20%
Heart failure,88805009,20%
Heart failure,426263006,20%
Heart failure,48447003,20%
Heart failure,443254009,20%
Heart failure,418304008,20%
Heart failure,153931000119109,20%
Heart failure,426611007,20%
Heart failure,80479009,20%
Heart failure,74960003,20%
Heart failure,441481004,20%
Heart failure,424404003,20%
Heart failure,314206003,20%
Heart failure,153941000119100,20%
Heart failure,153951000119103,20%
Heart failure,5375005,20%
Heart failure,10091002,20%
Heart failure,46113002,20%
Heart failure,443253003,20%
Heart failure,92506005,20%
Heart failure,609556008,20%
Heart failure,120861000119102,20%
Heart failure,5148006,20%
Heart failure,443343001,20%
Heart failure,66989003,20%
Heart failure,703274008,20%
Heart failure,441530006,20%
Heart failure,82523003,20%
Heart failure,120851000119104,20%
Heart failure,394927007,20%
Heart failure,44313006,20%
Heart failure,717840005,20%
Heart failure,16838951000119100,20%
Heart failure,609555007,20%
Heart failure,120871000119108,20%
Heart failure,443344007,20%
Heart failure,67441000119101,20%
Heart failure,462172006,20%
Heart failure,67431000119105,20%
Heart failure,25544003,20%
Heart failure,15629591000119103,20%
Heart failure,15629541000119106,20%
Heart failure,7411000175102,20%
Heart failure,15629641000119107,20%
Heart failure,120891000119109,20%
Atrial fibrillation,49436004,1.8-fold increase in risk among hypertension patients
Atrial fibrillation detected,1066831000000104,1.8-fold increase in risk among hypertension patients
