OMOP codes,procedure,normal range
4184637,Hemoglobin A1c measurement,4% to 5.9%
3034639,Hemoglobin A1c [Mass/volume] in Blood,4% to 5.9%
40329569,Hemoglobin A1c level,4% to 5.9%
40307813,Hemoglobin A1c level,4% to 5.9%
3004410,Hemoglobin A1c/Hemoglobin.total in Blood,4% to 5.9%
3007263,Hemoglobin A1c/Hemoglobin.total in Blood by c...,4% to 5.9%
44793001,Hb A1c (Haemoglobin A1c) measurement - IFCC (...,4% to 5.9%
37174831,Hemoglobin A1c within reference range,4% to 5.9%
4276582,Hemoglobin A1C - diabetic control finding,4% to 5.9%
4152671,Hemoglobin A1C - diabetic control interpretat...,4% to 5.9%
37067387,Hemoglobin A1c,Blood
36304734,Hemoglobin A1c/Hemoglobin.total goal Blood,4% to 5.9%
37392967,Haemoglobin A1c (diagnostic reference range),4% to 5.9%
42869630,Hemoglobin A1c/Hemoglobin.total [Pure mass fr...,4% to 5.9%
3556806,Haemoglobin A1c level,4% to 5.9%
37392407,Haemoglobin A1c level,4% to 5.9%
40765129,Hemoglobin A1c/Hemoglobin.total in Blood by J...,4% to 5.9%
37171451,HbA1c (glycated haemoglobin A1c)/HbA1 (haemog...,4% to 5.9%
46284816,Haemoglobin A1c (diagnostic reference range) ...,4% to 5.9%
37398434,Haemoglobin A1c level - International Federat...,4% to 5.9%
40333052,Hb. A1C - glycated hemoglobin (& [diabetic co...,4% to 5.9%
40302398,Hb. A1C - glycated hemoglobin (& [diabetic co...,4% to 5.9%
3005673,Hemoglobin A1c/Hemoglobin.total in Blood by H...,4% to 5.9%
46287019,Haemoglobin A1c (monitoring ranges) - IFCC (I...,4% to 5.9%
40762352,Hemoglobin A1c/Hemoglobin.total in Blood by I...,4% to 5.9%
37208641,HbA1c (haemoglobin A1c) substance concentration,4% to 5.9%
3003309,Hemoglobin A1c/Hemoglobin.total in Blood by E...,4% to 5.9%
37059902,Hemoglobin A1c/Hemoglobin.total,Blood
40775446,Hemoglobin A1c,Bld-Ser-Plas
37395558,HbA1c (haemoglobin A1c) level (diagnostic ref...,4% to 5.9%
37392966,Haemoglobin A1c (monitoring ranges),4% to 5.9%
37395559,HbA1c (haemoglobin A1c) level (monitoring ran...,4% to 5.9%
1621295,Hemoglobin A1c/Hemoglobin.total,Mass Fraction
36032094,Hemoglobin A1c/Hemoglobin.total in DBS,4% to 5.9%
4306438,Hemoglobin A1c less than 7 percent indicating...,4% to 5.9%
4306250,Hemoglobin A1c greater than 10 percent indica...,4% to 5.9%
3005446,Hemoglobin A1/Hemoglobin.total in Blood,4% to 5.9%
4306587,Hemoglobin A1c between 7 percent to 10 percen...,4% to 5.9%
